TYPE,propId,CASE_ENQUIRY_ID,OPEN_DT,location,neighborhood,Source
Traffic Signal Repair,I1739,1.01001E+11,1/1/13,Bowdoin St & Bowdoin St,Dorchester,Self Service
Request for Snow Plowing,I1921,1.01001E+11,1/1/13,Brent St & Talbot Ave,Dorchester,Constituent Call
Snow Removal,A43627,1.01001E+11,1/1/13,268 E Cottage St,Dorchester,Citizens Connect App
Snow Removal,A219808,1.01001E+11,1/1/13,276 E Cottage St,Dorchester,Citizens Connect App
Snow Removal,I1281,1.01001E+11,1/1/13,Belmore Ter & Boylston St,Jamaica Plain,Citizens Connect App
Snow Removal,A131824,1.01001E+11,1/1/13,45 Sullivan St,Charlestown,Citizens Connect App
Notification,A112520,1.01001E+11,1/1/13,48 Pratt St,Allston / Brighton,Constituent Call
Notification,A112520,1.01001E+11,1/1/13,48 Pratt St,Allston / Brighton,Constituent Call
Requests for Street Cleaning,A14574,1.01001E+11,1/1/13,1124 Bennington St,East Boston,Constituent Call
Requests for Street Cleaning,A158377,1.01001E+11,1/1/13,895 Massachusetts Ave,Roxbury,Constituent Call
